Veteran,LoanAmountRequested,Status,PropertyState
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
0,295000,1,NC
0,120000,2,MI
0,120000,2,MI
0,120000,2,MI
0,120000,2,MI
0,120000,2,MI
0,850000,2,MA
0,850000,2,MA
0,850000,2,MA
0,451000,1,CA
1,60000,2,MI
1,60000,2,MI
0,75000,1,TX
0,425000,2,NY
0,425000,2,NY
0,425000,2,NY
0,425000,2,NY
0,60000,1,MI
0,60000,1,MI
0,60000,1,MI
0,380000,2,ME
0,380000,2,ME
0,380000,1,ME
0,380000,2,ME
0,380000,2,ME
0,380000,2,ME
0,380000,2,ME
0,380000,2,ME
0,380000,2,ME
0,380000,2,ME
0,380000,2,ME
0,380000,2,ME
0,380000,2,ME
0,380000,2,ME
0,275000,1,CA
0,145000,2,CT
0,145000,2,CT
0,145000,2,CT
0,145000,2,CT
0,145000,2,CT
0,145000,2,CT
0,145000,2,CT
0,145000,1,CT
0,145000,2,CT
0,140000,2,PA
0,140000,2,PA
0,115000,2,OH
0,115000,2,OH
0,115000,2,OH
0,115000,2,OH
0,115000,2,OH
0,115000,2,OH
0,115000,2,OH
0,115000,2,OH
0,115000,2,OH
0,115000,2,OH
0,260000,1,NC
0,90000,1,AR
0,305000,1,MD
0,305000,1,MD
0,305000,2,MD
0,120000,2,GA
0,120000,2,GA
0,120000,2,GA
0,120000,2,GA
0,120000,2,GA
0,320000,2,FL
0,320000,2,FL
0,320000,2,FL
0,320000,2,FL
0,320000,2,FL
0,320000,2,FL
0,320000,2,FL
0,320000,2,FL
0,120000,1,FL
0,80000,1,AZ
0,260000,2,ME
0,260000,2,ME
0,260000,2,ME
0,260000,2,ME
0,260000,2,ME
0,95000,1,RI
0,150000,1,KY
0,150000,1,KY
0,200000,2,NV
0,140000,1,MN
0,170000,1,MD
0,170000,1,MD
1,60000,2,FL
1,60000,2,FL
1,60000,2,FL
0,208000,2,NH
0,208000,2,NH
0,208000,2,NH
0,208000,1,NH
0,208000,2,NH
0,135000,1,AZ
0,60000,2,IN
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,1,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,1,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,225000,2,CT
0,850000,2,CA
0,850000,1,CA
0,425000,2,CA
0,400000,1,NH
0,230000,1,TN
0,380000,1,CA
0,380000,1,CA
0,145000,2,MO
0,145000,2,MO
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,2,TX
1,145000,1,TX
1,145000,2,TX
1,145000,2,TX
0,125000,1,MI
0,350000,1,WA
0,900000,1,CA
1,135000,1,GA
0,160000,1,MI
0,96000,1,KS
0,60000,1,IN
0,500000,1,CA
1,190000,1,TX
0,160000,2,OH
0,160000,2,OH
0,160000,2,OH
0,160000,2,OH
0,160000,2,OH
0,472000,2,CA
0,472000,2,CA
0,472000,2,CA
1,128000,1,GA
0,115000,2,CO
0,140000,2,FL
0,140000,2,FL
0,140000,2,FL
0,140000,2,FL
0,140000,2,FL
0,100000,2,CT
0,85000,2,AR
0,85000,2,AR
0,85000,2,AR
0,85000,2,AR
0,85000,2,AR
0,85000,2,AR
0,85000,2,AR
0,85000,2,AR
0,155000,2,FL
0,155000,2,FL
0,155000,2,FL
0,155000,2,FL
0,155000,2,FL
0,155000,1,FL
0,315000,2,CA
0,315000,2,CA
0,315000,2,CA
0,315000,2,CA
0,315000,2,CA
1,150000,1,CO
0,200000,1,TX
0,80000,2,UT
0,80000,2,UT
0,170000,2,NM
0,170000,2,NM
0,170000,2,NM
0,280000,1,CO
0,275000,2,WA
0,275000,2,WA
0,115000,2,RI
0,140000,1,NM
1,60000,2,TX
1,60000,2,TX
1,60000,2,TX
1,60000,2,TX
0,105000,1,MT
0,110000,1,AL
0,180000,1,CA
0,235000,2,CT
0,235000,2,CT
0,235000,2,CT
0,235000,2,CT
0,235000,1,CT
0,235000,2,CT
0,200000,2,CA
0,200000,2,CA
1,150000,2,WA
1,150000,2,WA
1,150000,2,WA
1,150000,2,WA
1,150000,2,WA
0,700000,2,CA
0,700000,2,CA
0,700000,2,CA
0,700000,2,CA
0,700000,2,CA
0,375000,2,CA
0,375000,2,CA
0,205000,2,MA
0,205000,2,MA
0,205000,2,MA
0,205000,2,MA
0,205000,2,MA
0,205000,2,MA
0,205000,2,MA
0,205000,2,MA
0,205000,2,MA
0,205000,2,MA
0,199000,2,MA
0,199000,2,MA
0,199000,2,MA
0,199000,2,MA
0,199000,2,MA
0,199000,2,MA
0,199000,2,MA
0,199000,2,MA
0,199000,2,MA
0,199000,2,MA
0,200000,1,TX
0,460000,2,CA
0,70000,2,OH
0,70000,2,OH
0,70000,2,OH
0,70000,2,OH
0,70000,2,OH
0,70000,2,OH
0,70000,1,OH
0,70000,2,OH
0,70000,2,OH
0,70000,2,OH
0,70000,2,OH
0,90000,1,TX
0,400000,2,CA
0,400000,2,CA
0,400000,2,CA
0,400000,2,CA
0,400000,2,CA
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,190000,2,FL
0,90000,1,OR
1,1600000,1,WY
1,1600000,2,WY
0,60000,2,SC
0,60000,1,SC
0,380000,2,OR
0,380000,2,OR
0,380000,2,OR
0,380000,2,OR
0,380000,2,OR
0,80000,2,OK
0,80000,2,OK
0,80000,2,OK
0,80000,2,OK
0,80000,2,OK
0,375000,2,CA
0,375000,2,CA
0,375000,2,CA
0,375000,2,CA
0,375000,2,CA
1,225000,2,MD
1,225000,2,MD
1,225000,2,MD
1,225000,2,MD
1,225000,2,MD
0,525000,2,CA
0,525000,2,CA
0,525000,2,CA
0,525000,2,CA
0,525000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,200000,2,CA
0,115000,2,OH
0,115000,2,OH
0,115000,2,OH
0,140000,2,NV
0,140000,2,NV
0,140000,2,NV
0,140000,2,NV
